Topic,Subtopic,Suggested Citation,Title/Description,Link to Video,Length of Video,Year Created,EI/ECSE Standards,DEC Recommended Practices,,
Assessment,Developmental Monitoring ,"Whitaker, T. & Zubler, J. (2020, July 8). Developmental Surveillance: Understanding and Incorporating into Practice [Video]. American Academy of Pediatrics. https://players.brightcove.net/6056665225001/KSSGZDkp6_default/index.html?videoId=6182171344001",Developmental Surveillance: Understanding and Incorporating into Practice: Highlights ways that both developmental monitoring and screening are important and complementary for children's healthy development and identifying disabilities or delays. ,https://players.brightcove.net/6056665225001/KSSGZDkp6_default/index.html?videoId=6182171344001,25:50,2020,4.1,A1,,
Assessment,Family Centered-Practice ,Colorado Department of Education. (2021) Using Video for Really Watching [Video]. YouTube. https://www.youtube.com/watch?v=updXJLC8yEo,Using Video for Really Watching: Early Interventionist Megan Klish Fibbe demonstrates how the use of video can help providers observe infants and toddlers and observe family strengths.,https://www.youtube.com/watch?v=updXJLC8yEo,1:52,2021,2.3,F6,,
Assessment ,Authentic Assessment,Centers for Disease and Prevention Control. (2008). Baby Steps: Learn the Signs. Act Early [Video]. YouTube. https://www.cdc.gov/cdctv/lifestagesandpopulations/baby-steps-autism.html,"Baby Steps “Learn the Signs. Act Early”: Highlights the importance of families observing their children in how they play, learn, speak and act (monitoring) and if they have a concern about their child's development to reach out to their pediatrician. Can be used as a public awareness.",https://www.youtube.com/watch?v=9Ithxd5KWhw&t=4s,4:32,2008,1.2,A8,,
Assessment ,Functional Behavioral Assessment ,"National Center for Pyramid Model Innovations. (2018). Brendan After PBS  [Video]. NCPMI.  https://challengingbehavior.cbcs.usf.edu/Pyramid/pbs/study.html#:~:text=Prior%20to%20implementing%20Positive%20Behavior%20Support%20%28PBS%29%2C%20Brendan,nothing%20seemed%20to%20work%20with%20their%20youngest%20son","Brendan After PBS: Brendan is a very happy, energetic, young boy. Prior to implementing Positive Behavior Support (PBS), Brendan had severe challenging behavior. PBS was a match with the family’s routines and values and allowed Brendan’s parents to view their dreams and visions for their son as achievable.","https://challengingbehavior.cbcs.usf.edu/Pyramid/pbs/study.html#:~:text=Prior%20to%20implementing%20Positive%20Behavior%20Support%20%28PBS%29%2C%20Brendan,Nothing%20seemed%20to%20work%20with%20their%20youngest%20son.",1:10,2018,6.4,INS9,,
Assessment ,Functional Behavioral Assessment ,"National Center for Pyramid Model Innovations. (2018). Brendan Before PBS  [Video]. NCPMI. https://challengingbehavior.cbcs.usf.edu/Pyramid/pbs/study.html#:~:text=Prior%20to%20implementing%20Positive%20Behavior%20Support%20%28PBS%29%2C%20Brendan,nothing%20seemed%20to%20work%20with%20their%20youngest%20son.","Brendan Before PBS: Prior to implementing Positive Behavior Support (PBS), Brendan had severe challenging behavior. Brendan and his family were physically, mentally, and emotionally exhausted and in desperate need of help.","https://challengingbehavior.cbcs.usf.edu/Pyramid/pbs/study.html#:~:text=Prior%20to%20implementing%20Positive%20Behavior%20Support%20%28PBS%29%2C%20Brendan,Nothing%20seemed%20to%20work%20with%20their%20youngest%20son.",0:47,2018,6.4,INS9,,
Assessment ,Authentic Assessment,Colorado Department of Education. (2021).  Authentic Assessment in Early Intervention [Video]. Youtube. https://www.youtube.com/watch?v=CjE3tSxhDDg,Authentic Assessment in Early Intervention: Physical Therapist Megan Kish Fibbe describes and illustrates how authentic assessment practices enhance EI work with children and families.  Focuses on the purposes and uses of observation in a home setting as an authentic assessment tool.,https://www.youtube.com/watch?v=CjE3tSxhDDg,7:36,2021,4.1,A6,,
Development,Disability Specific,March of Dimes. (2017). 2017 National Ambassador: Ismael Torres-Castrodad [Video]. YouTube. https://www.youtube.com/watch?v=aupplBdR49w ,"2017 National Ambassador: Ismael Torres-Castrodad: Ismael Torres-Castrodad of San Juan, Puerto Rico was born five weeks premature. Ismael’s story emphasizes the serious and complex problem of late preterm birth, (between 34-36 weeks of pregnancy). His story will resonate with millions of families because more than 70 percent of all preterm babies are born in this late preterm time frame.",https://www.youtube.com/watch?v=aupplBdR49w,5:20,2017,1.4,,,
Development,Self Regulation,"UMN Extension Dept. of Family, Health & Wellbeing. (2019, September 24). Understanding and Responding to Challenging Behaviors in Young Children [Video]. Youtube. https://www.youtube.com/watch?v=OaU7V_IEzi4","Understanding and Responding to Challenging Behaviors in Young Children: A summary of Dr. Katherine Lingras's presentation, ""Responding to Challenging Behaviors: Considering Two-Generation and Infant Mental health Frameworks in Early Childhood Settings.""",https://www.youtube.com/watch?v=OaU7V_IEzi4,14:47,2019,6.4,INT1 ,,
Development,Early Learning and Development,"EITP Illinois. (2018, February 3). Motor Behavior in Infants and Toddlers: A Developmental Systems Perspective [Webinar]. YouTube. https://www.youtube.com/watch?v=5_M4vMBSFl0","Motor Behavior in Infants and Toddlers: A Developmental Systems Perspective: Webinar discusses theories that explain the learning and development of infant motor behavior; how emerging motor  behaviors bring opportunities for learning and more moving and doing; the interaction between the infant and their physical, social and temporal environments; and research on the development of postural control and locomotion in infants. ",https://www.youtube.com/watch?v=5_M4vMBSFl0,1:19:07 Begin at 7:00,2018,1.1,,,
Development,"Interactions, Intervention and Instruction.","Embler, D. (Director). (2015). Get in Step with Responsive Teaching [Video]. Center for Early Literacy Learning. http://www.earlyliteracylearning.org/ta_pract_videos1.php",Get in Step with Responsive Teaching: This video illustrates the use of responsive teaching for encouraging children’s early language literacy learning.  ,http://www.earlyliteracylearning.org/ta_pract_videos1.php,8:28,2015,1.3,,,
Development,Early Learning and Development,"George Kalarritis, Clinical Psychologist. (2016, December 29). The Secret Life of the Brain (1 to 5) The Baby's Brain [Video]. YouTube. https://www.youtube.com/watch?v=U0L0mYi_ftc",The Secret Life of the Brain (1 of 5) The Baby's Brain (2002): Experts describe the fascinating development of a baby's brain in the first year of life. ,https://www.youtube.com/watch?v=U0L0mYi_ftc,54:28,2016,1.2,,,
Development,Disability Specific,"Michigan Medicine. (2012, May 4). What is Spina Bifida? [Video]. YouTube. https://www.youtube.com/watch?v=asl-c1zmHmk","What is Spina Bifida?: Describes rate of incidence, when and how Spina Bifida develops in a fetus and prevention. ",https://www.youtube.com/watch?v=asl-c1zmHmk,3:13,2012,1.4,,,
Development,Early Learning and Development ,Pathways. (2018). 2 Month Old Baby Typical and Atypical Development - Side by Side Comparison [Video]. Pathways Foundation. https://pathways.org/watch/2-month-old-typical-and-atypical-motor-development/,"2 Month Old Baby Typical & Atypical Development Side by Side: Using technical language, description of the development of movement is described.  A demonstration in a lab, illustrates the muscle activation in a 2 month old baby that is meeting gross motor milestones and a baby that is not meeting milestones.  Relevance to functional activities is mentioned, however the demonstration is from a lab. ",https://pathways.org/watch/2-month-old-typical-and-atypical-motor-development/,7:23,2018,1.4,A8,,
Development,Disability Specific,"Pathways. (2016, February 18). Recognizing Early Motor Delays as Early as Four and Six Months of Age[Video]. YouTube. https://www.youtube.com/watch?v=GzZMokyNs94",Recognizing Early Motor Delays as Early as Four and Six Months of Age: Learn why Tummy Time is important for baby and how to detect signs of an early motor delay at four and six  months of age. Presentation includes videos and links to accompanying handouts.  All materials including videos are provided at no cost; no fees or charges may be associated with any of the Pathways.org materials without prior written approval.,https://www.youtube.com/watch?v=LLi-6dU43uY,30:34,2016,1.4,,,
Development,Disability Specific,Williams Syndrome Association. (2015). Moments in Time: Coralie First Year Video [Video]. Williams Syndrome Association. https://williams-syndrome.org/resources/video/moments-in-time-coralies-first-year-video,Moments in Time: Coralie's First Year Video: Documentation of Coralie first few months of life and diagnosis of Williams Syndrome.,https://williams-syndrome.org/resources/video/moments-in-time-coralies-first-year-video,5:17,2015,1.4,,,
Development,Disability Specific,"wwjoshdew. (2011, January 9). My Daughter Trying to Walk with Cerebral Palsy [Video]. YouTube https://www.youtube.com/watch?v=HZM4Qem1eSk","My Daughter Trying to Walk with Cerebral Palsy: Video 1 of 2. Abby, a three-year-old with has cerebral palsy, practices walking, while her dad encourages her independence and persistence. The video illustrates her exceptional pattern of walking but also aspects of her development that are following a normative pattern. ",https://www.youtube.com/watch?v=HZM4Qem1eSk,3:28,2011,1.3,,,
Development,Everyday Learning Opportunities,Zero to Three. (2015). Magic of Everyday Moments: Driven to Discover: How Thinking Skills Develop Through Everyday Play and Exploration[Video]. Zero to Three. https://www.zerotothree.org/resources/200-driven-to-discover-how-thinking-skills-develop-through-everyday-play-and-exploration,"Magic of Everyday Moments: Driven to Discover: How Thinking Skills Develop Through Everyday Play and Exploration: The development of thinking skills such as cause and effect, spatial relationships, classification, and symbolic thinking are related to everyday experiences that parents provide. ",https://www.zerotothree.org/resources/200-driven-to-discover-how-thinking-skills-develop-through-everyday-play-and-exploration,4:19,2015,1.2,,,
Development,Interactions,"Zero to Three. (2016, March 7). Connecting with Babies: The Power of Parent/ Child Interaction [Video]. Zero to Three. https://www.zerotothree.org/resources/379-connecting-with-babies",Connecting with Babies: The Power of Parent/Child Interaction: This video demonstrates how a child responds to the parent's different patterns of interaction and discusses the consequences of these reaction on development. ,https://www.zerotothree.org/resources/379-connecting-with-babies,3:07,2016,1.3,F5,,
Development,Early Learning and Development,"Albert Einstein College of Medicine. (2015, April 15). Developmental Milestones: Baby Talk from First Sounds to First Words [Video]. YouTube. https://www.youtube.com/watch?v=a7WAfwKi88Q&list=RD30lO3gXeoUs",Developmental Milestones: Baby Talk from First Sounds to First Words: Stages of speech and communication development during the first year of life are explained. The developmental progression is highlighted as the child interacts with parents and siblings.,https://www.youtube.com/watch?v=a7WAfwKi88Q&list=RD30lO3gXeoUs,5:35,2015,1.2,,,
Development,Early Learning and Development,American Society of Pediatrics. (2018). No Alcohol During Pregnancy is the Safest Choice [Video]. YouTube. https://www.youtube.com/watch?v=R6Zi2D2u8ZU,"No Alcohol During Pregnancy is the Safest Choice: An estimated 40,000 babies are born each year with FASDs, which can result in birth defects, intellectual or learning disabilities, behavior problems and trouble learning life skills. ",https://www.youtube.com/watch?v=R6Zi2D2u8ZU,0:31,2018,1.4,,,
Development,Early Learning and Development,Pompeu Fabra University & Barcelona University. (2015). Before Their First Words [Video gallery].Pompeu Fabra University & Barcelona University. http://beforefirstwords.upf.edu/videos-gallery/,Before Their First Words: Video Gallery: Newborns become increasingly aware of language and interactions around them. ,http://beforefirstwords.upf.edu/videos-gallery/ ,varies,2015,1.2,,,
Development,Early Learning and Development,"Branson, J.S. (2017, August 20). Erik Erikson and Lifespan Development [Video]. YouTube. https://www.youtube.com/watch?v=pxgp69xtV0I","Erik Erikson and Lifespan Development: In an interview, Erik Erikson explains his theory of psychosocial development highlighting his stages of development. ",https://www.youtube.com/watch?v=pxgp69xtV0I,6:00,2017,1.1,,,
Development,Early Learning and Development ,Center for Disease Control. (2020). CDC Milestones in Action: Photos and Videos [Video & Photos]. Centers for Disease Control and Prevention. https://www.cdc.gov/ncbddd/actearly/milestones/milestones-in-action.html,"CDC Milestones in Action: Photos and Videos: Milestones in Action is a photo and video library of photos and videos for the ages of 2 months, 4 months, 6 months, 9 months, 1 year, 18 months, 2 years, 3 years, 4 years, and 5 years.  The number of videos for each age range varies with videos depicting developmental skills in the social-emotional, language/communication, cognitive, and motor developmental domains.",https://www.cdc.gov/ncbddd/actearly/milestones/milestones-in-action.html,Varied,2020,1.2,,,
Development,Early Learning and Development,"Center for Early Education and Development University of Minnesota. (2012). Child Development Care Story, Part 1: Brain Architecture [Video]. Center for Early Education and Development University of Minnesota. https://ceed.umn.edu/project-for-babies-videos/","Child Development Core Story, Part 1: Brain Architecture: Experts in the field relate the importance of building a strong foundation of brain architecture to future learning. ",https://ceed.umn.edu/project-for-babies-videos/,5:48,2012,1.2,,,
Development,Serve and Return,"Center for Early Education and Development University of Minnesota. (2012). Child Development Care Story, Part 2: Serve and Return [Video]. Center for Early Education and Development University of Minnesota. https://ceed.umn.edu/project-for-babies-videos/","Child Development Core Story, Part 2: Serve and Return: The serve and return interactions between adults and young children as well as the link between responsive caregiving in the early years and building essential social, emotional, and attention skills necessary for later learning are discussed. ",https://ceed.umn.edu/project-for-babies-videos/,4:53,2012,1.2,,,
Development,Toxic Stress ,"Center for Early Education and Development University of Minnesota. (2012). Child Development Care Story, Part 3: Stress [Video]. Center for Early Education and Development University of Minnesota. https://ceed.umn.edu/project-for-babies-videos/","Child Development Core Story, Part 3: Stress: The chemical reaction to three levels of stress; positive, tolerable, and toxic are discussed in relationship to brain functioning. The impact of toxic stress on school performance and long-term health is emphasized.",https://ceed.umn.edu/project-for-babies-videos/,5:54,2012,1.3,,,
Development,Resiliency,"Center for Early Education and Development University of Minnesota. (2012). Child Development Care Story, Part 5: Resilience [Video]. Center for Early Education and Development University of Minnesota. https://ceed.umn.edu/project-for-babies-videos/","Child Development Core Story, Part 5: Resilience: Children are incredibly resilient – the same rapid brain development that occurs in the first few years of life that make young children particularly vulnerable to maltreatment also make those same children particularly receptive to intervention.",https://ceed.umn.edu/project-for-babies-videos/,7:00,2012,1.3,,,
Development,Toxic Stress ,"Center for the Developing Child Harvard University. (2019). Stress and Resilience: How Toxic Stress Affects Us, and What We Can Do About It [Video]. Center for the Developing Child Harvard University. https://developingchild.harvard.edu/resources/stress-and-resilience-how-toxic-stress-affects-us-and-what-we-can-do-about-it/","Stress and Resilience: How Toxic Stress Affects Us, and What We Can Do About It: Identifies what toxic stress is, how it can affect a parent and what a parent can do—both individually and in connection with his/her community to deal with what they are experiencing.",https://developingchild.harvard.edu/resources/stress-and-resilience-how-toxic-stress-affects-us-and-what-we-can-do-about-it/,3:52,2019,1.3,F7,,
Development,Brain Development,Center on the Developing Child Harvard University & National Scientific Council on the Developing Child. (2013). InBrief: The Science of Neglect [Video]. Center on the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-the-science-of-early-childhood-development/,"In Brief: The Science of Neglect: Reviews the need for young children to have responsive interactions with adults, the impact unresponsive care has on activation of stress hormones, and the consequences of neglect on the developing brain. ",https://developingchild.harvard.edu/resources/inbrief-the-science-of-neglect-video/,5:57,2013,1.3,,,
Development,Social Emotional,Center on the Developing Child Harvard University & National Scientific Council on the Developing Child. (2019). InBrief: Early Childhood Mental Health[Video]. Center on the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-early-childhood-mental-health-video/,"InBrief: Early Childhood Mental Health: Science tells us that the foundations of sound mental health are built early in life. Early experiences - including children’s relationships with parents, caregivers, relatives, teachers, and peers - interact with genes to shape the architecture of the developing brain. ",https://developingchild.harvard.edu/resources/inbrief-early-childhood-mental-health-video/,5:04,2019,1.2,,,
Development,Early Learning and Development,"Center on the Developing Child Harvard University, National Scientific Council on the Developing Child & National Forum on Early Childhood Policy and Program. (2012). InBrief: Executive Function: Skills for Life and Learning[Video]. Center on the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-executive-function-skills-for-life-and-learning/","InBrief: Executive Function: Skills for Life and Learning: Describes the importance of executive functioning (inhibitory control, working memory, and mental flexibility) and how it develops in the early years.",https://developingchild.harvard.edu/resources/inbrief-executive-function-skills-for-life-and-learning/,5:35,2012,1.2,,,
Development,Early Learning and Development,Center on the Developing Child Harvard University. (2007). InBrief: The Science of Early Childhood Development [Video]. Center on the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-the-science-of-early-childhood-development/,InBrief: The Science of Early Childhood Development: Dr. Jack Shonkoff explains the interplay between experience and brain development. ,https://developingchild.harvard.edu/resources/inbrief-the-science-of-early-childhood-development/,3:57,2007,1.2,,,
Development,Early Learning and Development ,Center on the Developing Child Harvard University. (2017). How Children and Adults Can Build Core Capabilities for Life [Video]. Center on the Developing Child Harvard University. https://developingchild.harvard.edu/resources/video-building-core-capabilities-life/,How Children and Adults Can Build Core Capabilities for Life: Development and use of core capabilities — known as executive function and self-regulation skills — from early childhood into adolescence and adulthood is explored.,https://developingchild.harvard.edu/resources/video-building-core-capabilities-life/,5:32,2017,1.2,,,
Development,Disability Specific,"CHASA - Children's Hemiplegia and Stroke  Association. (2012, December 6). Lincoln's Story - Early Signs of Hemiplegia Cerebral Palsy or Pediatric Stroke [Video]. YouTube.  https://www.youtube.com/watch?v=MDO6bijBRHs",Lincoln's Story - Early Signs of Hemiplegia Cerebral Palsy or Pediatric Stroke: Illustrates the journey leading up to a Lincoln's diagnosis of hemiplegic cerebral palsy.,https://www.youtube.com/watch?v=MDO6bijBRHs,4:58,2012,1.4,,,
Development,Early Learning and Development,"Davidson Films, Inc. (2010, June 21). Vygotsky's Developmental Theory: An Introduction (Davidson Films, Inc. [Video]. YouTube. https://www.youtube.com/watch?v=InzmZtHuZPY","Vygotsky's Developmental Theory: An Introduction (Davidson Films, Inc.): The work of Lev Vygotsky is increasingly cited as we reconsider the theory and practice of constructivist education. This program introduces the life, vocabulary and concepts of Lev Vygotsky. The video illustrates four basic concepts integral to his work: Children construct knowledge, learning can lead development, development cannot be separated from its social context, and language plays a central role in cognitive development. Elena Bodrova brings an easy familiarity to these concepts. Deborah Leong's commentary and the lively classroom examples enable students, teachers in training, and classroom teachers to incorporate these concepts into their understanding of child development. ",https://www.youtube.com/watch?v=InzmZtHuZPY,4:01,2010,1.1,,,
Development,Early Learning and Development,"Department of Education and Training, Victoria. (2016, July 18). The Ecological Model of Child Learning and Development [Video]. YouTube. https://www.youtube.com/watch?v=n7VMo51xRTA",The Ecological Model of Child Learning and Development: Brief explanation of Uri Bronfenbrenner's Ecological Theory.,https://www.youtube.com/watch?v=n7VMo51xRTA,2:40,2016,1.1,,,
Development,Disability Specific ,"EITP Illinois. (2016, March 21). Early Motor Delays: How to Make 0-3 Count for Children with Cerebral Palsy [Video]. YouTube. https://www.youtube.com/watch?v=PxUg8nOspIw&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1","Early Motor Delays: How to Make 0-3 Count for Children with Cerebral Palsy: Webinar describes early motor delays and cerebral palsy; the impact of early identification and diagnosis; and importance of considering the family context for recommendations. Two parents of children with cerebral palsy share their experience, knowledge, and perspective on balancing targeted interventions with a holistic approach to raising a child with cerebral palsy. ",https://www.youtube.com/watch?v=PxUg8nOspIw&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1,1:15:28 Begin at 6:50,2016,1.4,F1,,
Development,Early Learning and Development,"EITP Illinois. (2016, February 8). Facilitating Motor Skill Development in Infants and Toddlers[Video]. YouTube. https://www.youtube.com/watch?v=-oRuC37j-uc&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1 ","Facilitating Motor Skill Development in Infants and Toddlers: Webinar reviews the importance of supporting families to address motor skill development; common myths about motor skill development; motor challenges experienced by young children; and strategies for facilitating motor developments using DEC Recommended Practices and the National Association for Sport Physical Education for children, birth-5 year olds. . ",https://www.youtube.com/watch?v=-oRuC37j-uc&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1,1:18:03 Begin at 8:45,2016,1.2,,,
Development,Disability Specific,"EITP Illinois. (2016, March 14) Fetal Alcohol Spectrum Disorders: Early Childhood [Video]. YouTube. https://www.youtube.com/watch?v=NltcPNeHubg&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1","Fetal Alcohol Spectrum Disorders: Early Childhood: Presented are the statistics of mothers that drink during pregnancy, how the fetus metabolizes alcohol,  diagnosis criteria,  an adoptive parent's perspective, and how alcohol exposure can affect development. ",https://www.youtube.com/watch?v=NltcPNeHubg&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1,1:16:41  Begin at 6:10,2016,1.3,,,
Development,Family-Centered Early Intervention ,"EITP Illinois. (2016, March 5). Genetic Considerations in Young Children with Developmental Delays [Video]. YouTube. https://www.youtube.com/watch?v=Te_mSvrdulo&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1",Genetic Considerations in Young Children with Developmental Delays: Webinar reviews how to identify red flags of genetic disorders during evaluations; current newborn genetic screening and testing technologies; accessing resources for screening and referral for further testing and counseling; strategies for communicating with and supporting families; and coordinating care with specialists.,https://www.youtube.com/watch?v=Te_mSvrdulo&list=PL7F9l-VZdRS8in345ayGuQ8pr6RDGT8L1,1:26:25 Begin at 7:05,2016,1.3,,,
Development,Early Learning and Development,Colorado Department of Education. (2021). Samantha and Sara Building Towers and Castles [Video]. YouTube. https://www.youtube.com/watch?v=XdUx3iHNuhs,"Samantha and Sara Building Towers and Castles: Preschoolers Sara and Samantha demonstrate a variety of imaginative, fine motor, gross motor, communication, and social-emotional skills in the block area.",https://www.youtube.com/watch?v=XdUx3iHNuhs,6:45,2021,1.2,,,
Development,Early Learning and Development ,Colorado Department of Education. (2021). Cameron and Alexis Playing with Blocks [Video].  YouTube. https://www.youtube.com/watch?v=MrfW5GhfUDk,"Cameron and Alexis Playing with Blocks: Cameron and Alexis demonstrate a variety of communication, social-emotional, problem-solving, fine-motor, imagination, and play skills in the block area. ",https://www.youtube.com/watch?v=MrfW5GhfUDk,4:25,2021,1.2,,,
Development,Early Learning and Development,"Edelman, L. (2011). Child Outcomes Step-by-Step[Video]. Desired Results Access Project. https://draccess.org/videolibrary/ChildOutcomesStepByStep","Child Outcomes Step-by-Step:  A set of three child outcomes adopted by the U.S. Department of Education are described. These outcomes address three areas of child functioning necessary for each child to be an active and successful participant at home, in the community, and in other places like a childcare program or preschool. Measuring progress on the outcomes helps states meet federal reporting requirements for children with disabilities.              ",https://draccess.org/videolibrary/ChildOutcomesStepByStep,8:44,2011,1.4,INS4,,
Development,Early Learning and Development,Colorado Department of Education. (2021). Joy and Johna Working on a Puzzle [Video]. YouTube. https://www.youtube.com/watch?v=TlCHMA29Wgk,"Joy and Johna Working on a Puzzle: Preschoolers Joy and Johna demonstrate a rich variety of fine motor, communication, social-emotional, play, and problem-solving skills when work on a puzzle together.",https://www.youtube.com/watch?v=TlCHMA29Wgk,6:04,2021,1.2,,,
Development,Early Learning and Development,Colorado Department of Education. (2015). Gabby [Video]. YouTube. https://www.youtube.com/watch?v=rfVPpW-FZkE,"Gabby: Gabby, a toddler, demonstrates a variety of motor skills",https://www.youtube.com/watch?v=rfVPpW-FZkE,1:38,2015,1.2,,,
Development,Early Learning and Development,Colorado Department of Education. (2015). Lilly [Video]. YouTube. https://www.youtube.com/watch?v=w9XGxwtPPYw,"Lilly: Lilly, just learning to crawl, demonstrates fine motor, gross motor, and communication skills as she interacts with toys, peers, and a caregiver.",https://www.youtube.com/watch?v=w9XGxwtPPYw,3:18,2015,1.2,,,
Development,Responsive Adult-Child Interactions,"Edelman, L., and Greer, L. (2016). Angel at Lunch [Video]. Desired Results Access Project.  https://www.draccess.org/videolibrary/AngelAtLunch",Angel at Lunch: Angel demonstrates a variety of mealtime and self-help skills. ,https://www.draccess.org/videolibrary/AngelAtLunch,3;32,2016,1.4,,,
Development,Early Learning and Development ,"Edelman, L., and Greer, L. (2016). Cody on the Playground [Video]. Desired Results Access Project.  https://www.draccess.org/videolibrary/CodyOnThePlayground","Cody on the Playground: Cody, a preschooler with down syndrome, plays on the playground - he uses a riding toy, maneuvers in and out a tires placed on the ground, and pretends to cook in the outside kitchen.",https://www.draccess.org/videolibrary/CodyOnThePlayground,3:57,2016,1.4,,,
